games,2048 rate
0.0,0.0
100.05,0.0
200.1,0.0
300.15,0.0
400.2,0.0
500.25,0.0
600.3,0.0
700.35,0.0
800.4,0.0
900.4499999999999,0.0
1000.5,0.0
1100.55,0.01
1200.6,0.01
1300.6499999999999,0.01
1400.7,0.02
1500.75,0.03
1600.8,0.0
1700.85,0.01
1800.8999999999999,0.03
1900.95,0.01
2001.0,0.02
2101.0499999999997,0.02
2201.1,0.04
2301.15,0.04
2401.2,0.06
2501.25,0.08
2601.2999999999997,0.07
2701.35,0.08
2801.4,0.1
2901.45,0.03
3001.5,0.08
3101.5499999999997,0.06
3201.6,0.07
3301.65,0.12
3401.7,0.14
3501.75,0.09
3601.7999999999997,0.11
3701.85,0.12
3801.9,0.15
3901.95,0.18
4002.0,0.16
4102.05,0.11
4202.099999999999,0.1
4302.15,0.15
4402.2,0.12
4502.25,0.17
4602.3,0.13
4702.349999999999,0.11
4802.4,0.2
4902.45,0.18
5002.5,0.2
5102.55,0.23
5202.599999999999,0.21
5302.65,0.17
5402.7,0.26
5502.75,0.16
5602.8,0.16
5702.849999999999,0.15
5802.9,0.21
5902.95,0.21
6003.0,0.11
6103.05,0.15
6203.099999999999,0.24
6303.15,0.26
6403.2,0.27
6503.25,0.2
6603.3,0.25
6703.349999999999,0.17
6803.4,0.24
6903.45,0.2
7003.5,0.26
7103.55,0.21
7203.599999999999,0.23
7303.65,0.2
7403.7,0.19
7503.75,0.24
7603.8,0.26
7703.849999999999,0.25
7803.9,0.23
7903.95,0.28
8004.0,0.29
8104.05,0.29
8204.1,0.23
8304.15,0.29
8404.199999999999,0.37
8504.25,0.22
8604.3,0.31
8704.35,0.36
8804.4,0.3
8904.449999999999,0.28
9004.5,0.32
9104.55,0.31
9204.6,0.26
9304.65,0.33
9404.699999999999,0.29
9504.75,0.25
9604.8,0.33
9704.85,0.25
9804.9,0.32
9904.949999999999,0.35
10005.0,0.3
10105.05,0.33
10205.1,0.38
10305.15,0.32
10405.199999999999,0.3
10505.25,0.36
10605.3,0.33
10705.35,0.32
10805.4,0.31
10905.449999999999,0.26
11005.5,0.3
11105.55,0.25
11205.6,0.34
11305.65,0.35
11405.699999999999,0.34
11505.75,0.36
11605.8,0.37
11705.85,0.36
11805.9,0.32
11905.949999999999,0.32
12006.0,0.39
12106.05,0.29
12206.1,0.4
12306.15,0.33
12406.199999999999,0.33
12506.25,0.42
12606.3,0.37
12706.35,0.38
12806.4,0.36
12906.449999999999,0.39
13006.5,0.39
13106.55,0.38
13206.6,0.3
13306.65,0.36
13406.699999999999,0.39
13506.75,0.37
13606.8,0.46
13706.85,0.44
13806.9,0.45
13906.949999999999,0.38
14007.0,0.35
14107.05,0.37
14207.1,0.41
14307.15,0.35
14407.199999999999,0.34
14507.25,0.46
14607.3,0.37
14707.35,0.45
14807.4,0.43
14907.449999999999,0.43
15007.5,0.41
15107.55,0.41
15207.6,0.35
15307.65,0.37
15407.699999999999,0.42
15507.75,0.45
15607.8,0.47
15707.85,0.48
15807.9,0.44
15907.949999999999,0.48
16008.0,0.45
16108.05,0.46
16208.1,0.39
16308.15,0.47
16408.2,0.33
16508.25,0.47
16608.3,0.48
16708.35,0.42
16808.399999999998,0.37
16908.45,0.46
17008.5,0.47
17108.55,0.5
17208.6,0.4
17308.649999999998,0.41
17408.7,0.49
17508.75,0.45
17608.8,0.41
17708.85,0.35
17808.899999999998,0.46
17908.95,0.48
18009.0,0.52
18109.05,0.44
18209.1,0.45
18309.149999999998,0.4
18409.2,0.4
18509.25,0.45
18609.3,0.55
18709.35,0.37
18809.399999999998,0.39
18909.45,0.44
19009.5,0.48
19109.55,0.51
19209.6,0.42
19309.649999999998,0.45
19409.7,0.45
19509.75,0.53
19609.8,0.52
19709.85,0.53
19809.899999999998,0.38
19909.95,0.47
20010.0,0.54
20110.05,0.49
20210.1,0.44
20310.149999999998,0.46
20410.2,0.42
20510.25,0.44
20610.3,0.44
20710.35,0.52
20810.399999999998,0.46
20910.45,0.45
21010.5,0.47
21110.55,0.49
21210.6,0.41
21310.649999999998,0.45
21410.7,0.58
21510.75,0.51
21610.8,0.45
21710.85,0.5
21810.899999999998,0.47
21910.95,0.47
22011.0,0.49
22111.05,0.49
22211.1,0.52
22311.149999999998,0.5
22411.2,0.45
22511.25,0.49
22611.3,0.46
22711.35,0.51
22811.399999999998,0.53
22911.45,0.51
23011.5,0.57
23111.55,0.44
23211.6,0.45
23311.649999999998,0.49
23411.7,0.54
23511.75,0.54
23611.8,0.47
23711.85,0.55
23811.899999999998,0.52
23911.95,0.58
24012.0,0.5
24112.05,0.57
24212.1,0.52
24312.149999999998,0.59
24412.2,0.52
24512.25,0.47
24612.3,0.59
24712.35,0.56
24812.399999999998,0.52
24912.45,0.51
25012.5,0.5
25112.55,0.45
25212.6,0.54
25312.649999999998,0.56
25412.7,0.42
25512.75,0.52
25612.8,0.5
25712.85,0.55
25812.899999999998,0.51
25912.95,0.52
26013.0,0.51
26113.05,0.47
26213.1,0.47
26313.149999999998,0.49
26413.2,0.66
26513.25,0.48
26613.3,0.49
26713.35,0.53
26813.399999999998,0.37
26913.45,0.49
27013.5,0.48
27113.55,0.6
27213.6,0.53
27313.649999999998,0.57
27413.7,0.54
27513.75,0.51
27613.8,0.5
27713.85,0.44
27813.899999999998,0.54
27913.95,0.55
28014.0,0.54
28114.05,0.54
28214.1,0.48
28314.149999999998,0.53
28414.2,0.44
28514.25,0.47
28614.3,0.51
28714.35,0.5
28814.399999999998,0.49
28914.45,0.55
29014.5,0.47
29114.55,0.49
29214.6,0.48
29314.649999999998,0.52
29414.7,0.53
29514.75,0.55
29614.8,0.55
29714.85,0.55
29814.899999999998,0.48
29914.95,0.51
30015.0,0.5
30115.05,0.56
30215.1,0.45
30315.149999999998,0.5
30415.2,0.59
30515.25,0.5
30615.3,0.51
30715.35,0.52
30815.399999999998,0.48
30915.45,0.53
31015.5,0.62
31115.55,0.47
31215.6,0.49
31315.649999999998,0.64
31415.7,0.55
31515.75,0.57
31615.8,0.39
31715.85,0.54
31815.899999999998,0.53
31915.95,0.42
32016.0,0.56
32116.05,0.6
32216.1,0.47
32316.149999999998,0.49
32416.2,0.62
32516.25,0.53
32616.3,0.55
32716.35,0.61
32816.4,0.5
32916.45,0.58
33016.5,0.55
33116.549999999996,0.5
33216.6,0.58
33316.65,0.48
33416.7,0.6
33516.75,0.52
33616.799999999996,0.57
33716.85,0.53
33816.9,0.52
33916.95,0.62
34017.0,0.57
34117.049999999996,0.59
34217.1,0.63
34317.15,0.51
34417.2,0.53
34517.25,0.62
34617.299999999996,0.54
34717.35,0.55
34817.4,0.49
34917.45,0.43
35017.5,0.64
35117.549999999996,0.49
35217.6,0.51
35317.65,0.64
35417.7,0.54
35517.75,0.57
35617.799999999996,0.57
35717.85,0.49
35817.9,0.48
35917.95,0.57
36018.0,0.52
36118.049999999996,0.52
36218.1,0.6
36318.15,0.56
36418.2,0.51
36518.25,0.59
36618.299999999996,0.51
36718.35,0.52
36818.4,0.49
36918.45,0.51
37018.5,0.57
37118.549999999996,0.56
37218.6,0.51
37318.65,0.59
37418.7,0.63
37518.75,0.56
37618.799999999996,0.45
37718.85,0.51
37818.9,0.52
37918.95,0.55
38019.0,0.52
38119.049999999996,0.58
38219.1,0.5
38319.15,0.62
38419.2,0.56
38519.25,0.55
38619.299999999996,0.48
38719.35,0.53
38819.4,0.53
38919.45,0.5
39019.5,0.57
39119.549999999996,0.53
39219.6,0.51
39319.65,0.53
39419.7,0.49
39519.75,0.56
39619.799999999996,0.43
39719.85,0.46
39819.9,0.62
39919.95,0.61
40020.0,0.57
40120.049999999996,0.48
40220.1,0.54
40320.15,0.62
40420.2,0.53
40520.25,0.47
40620.299999999996,0.57
40720.35,0.48
40820.4,0.49
40920.45,0.57
41020.5,0.65
41120.549999999996,0.54
41220.6,0.51
41320.65,0.53
41420.7,0.63
41520.75,0.61
41620.799999999996,0.58
41720.85,0.57
41820.9,0.52
41920.95,0.58
42021.0,0.58
42121.049999999996,0.59
42221.1,0.54
42321.15,0.63
42421.2,0.58
42521.25,0.52
42621.299999999996,0.5
42721.35,0.62
42821.4,0.57
42921.45,0.64
43021.5,0.63
43121.549999999996,0.57
43221.6,0.53
43321.65,0.62
