games,2048 rate
0.0,0.0
100.04761904761905,0.0
200.0952380952381,0.0
300.14285714285717,0.0
400.1904761904762,0.0
500.23809523809524,0.0
600.2857142857143,0.0
700.3333333333334,0.0
800.3809523809524,0.0
900.4285714285714,0.0
1000.4761904761905,0.0
1100.5238095238096,0.0
1200.5714285714287,0.0
1300.6190476190477,0.0
1400.6666666666667,0.01
1500.7142857142858,0.0
1600.7619047619048,0.01
1700.8095238095239,0.01
1800.857142857143,0.01
1900.904761904762,0.0
2000.952380952381,0.0
2101.0,0.01
2201.0476190476193,0.0
2301.095238095238,0.0
2401.1428571428573,0.0
2501.190476190476,0.01
2601.2380952380954,0.01
2701.285714285714,0.0
2801.3333333333335,0.01
2901.3809523809523,0.01
3001.4285714285716,0.01
3101.4761904761904,0.0
3201.5238095238096,0.0
3301.571428571429,0.01
3401.6190476190477,0.06
3501.666666666667,0.02
3601.714285714286,0.01
3701.761904761905,0.05
3801.809523809524,0.04
3901.857142857143,0.02
4001.904761904762,0.01
4101.952380952381,0.0
4202.0,0.0
4302.047619047619,0.02
4402.0952380952385,0.02
4502.142857142857,0.01
4602.190476190476,0.01
4702.238095238095,0.05
4802.285714285715,0.05
4902.333333333334,0.03
5002.380952380952,0.02
5102.428571428572,0.05
5202.476190476191,0.04
5302.52380952381,0.02
5402.571428571428,0.04
5502.619047619048,0.02
5602.666666666667,0.04
5702.714285714286,0.03
5802.761904761905,0.04
5902.809523809524,0.07
6002.857142857143,0.06
6102.904761904762,0.08
6202.952380952381,0.05
6303.0,0.07
6403.047619047619,0.04
6503.0952380952385,0.02
6603.142857142858,0.06
6703.190476190476,0.11
6803.238095238095,0.09
6903.285714285715,0.11
7003.333333333334,0.08
7103.380952380952,0.09
7203.428571428572,0.08
7303.476190476191,0.12
7403.52380952381,0.13
7503.571428571428,0.15
7603.619047619048,0.15
7703.666666666667,0.12
7803.714285714286,0.11
7903.761904761905,0.16
8003.809523809524,0.16
8103.857142857143,0.15
8203.904761904761,0.2
8303.952380952382,0.17
8404.0,0.13
8504.04761904762,0.13
8604.095238095239,0.14
8704.142857142857,0.15
8804.190476190477,0.19
8904.238095238095,0.14
9004.285714285714,0.18
9104.333333333334,0.18
9204.380952380952,0.17
9304.428571428572,0.17
9404.47619047619,0.25
9504.52380952381,0.17
9604.57142857143,0.19
9704.619047619048,0.19
9804.666666666668,0.25
9904.714285714286,0.21
10004.761904761905,0.14
10104.809523809525,0.19
10204.857142857143,0.27
10304.904761904761,0.23
10404.952380952382,0.25
10505.0,0.3
10605.04761904762,0.25
10705.095238095239,0.28
10805.142857142857,0.3
10905.190476190477,0.28
11005.238095238095,0.24
11105.285714285714,0.28
11205.333333333334,0.3
11305.380952380952,0.25
11405.428571428572,0.34
11505.47619047619,0.37
11605.52380952381,0.42
11705.57142857143,0.2
11805.619047619048,0.31
11905.666666666668,0.29
12005.714285714286,0.42
12105.761904761905,0.44
12205.809523809525,0.35
12305.857142857143,0.4
12405.904761904761,0.33
12505.952380952382,0.35
12606.0,0.34
12706.04761904762,0.35
12806.095238095239,0.35
12906.142857142857,0.41
13006.190476190477,0.39
13106.238095238095,0.3
13206.285714285716,0.29
13306.333333333334,0.38
13406.380952380952,0.3
13506.428571428572,0.45
13606.47619047619,0.38
13706.52380952381,0.41
13806.57142857143,0.48
13906.619047619048,0.33
14006.666666666668,0.3
14106.714285714286,0.37
14206.761904761905,0.43
14306.809523809525,0.49
14406.857142857143,0.47
14506.904761904763,0.44
14606.952380952382,0.51
14707.0,0.48
14807.04761904762,0.43
14907.095238095239,0.46
15007.142857142857,0.45
15107.190476190477,0.5
15207.238095238095,0.44
15307.285714285716,0.5
15407.333333333334,0.45
15507.380952380952,0.45
15607.428571428572,0.47
15707.47619047619,0.48
15807.52380952381,0.47
15907.57142857143,0.49
16007.619047619048,0.48
16107.666666666668,0.5
16207.714285714286,0.48
16307.761904761905,0.53
16407.809523809523,0.44
16507.857142857145,0.63
16607.904761904763,0.6
16707.95238095238,0.53
16808.0,0.55
16908.04761904762,0.57
17008.09523809524,0.47
17108.14285714286,0.53
17208.190476190477,0.49
17308.238095238095,0.46
17408.285714285714,0.48
17508.333333333332,0.47
17608.380952380954,0.5
17708.428571428572,0.5
17808.47619047619,0.58
17908.52380952381,0.52
18008.571428571428,0.59
18108.61904761905,0.53
18208.666666666668,0.45
18308.714285714286,0.63
18408.761904761905,0.5
18508.809523809523,0.55
18608.857142857145,0.52
18708.904761904763,0.5
18808.95238095238,0.58
18909.0,0.52
19009.04761904762,0.53
19109.09523809524,0.54
19209.14285714286,0.53
19309.190476190477,0.51
19409.238095238095,0.58
19509.285714285714,0.6
19609.333333333336,0.54
19709.380952380954,0.55
19809.428571428572,0.64
19909.47619047619,0.58
20009.52380952381,0.52
20109.571428571428,0.63
20209.61904761905,0.54
20309.666666666668,0.57
20409.714285714286,0.59
20509.761904761905,0.64
20609.809523809523,0.66
20709.857142857145,0.55
20809.904761904763,0.57
20909.95238095238,0.65
21010.0,0.58
21110.04761904762,0.6
21210.09523809524,0.69
21310.14285714286,0.61
21410.190476190477,0.61
21510.238095238095,0.73
21610.285714285714,0.55
21710.333333333336,0.6
21810.380952380954,0.61
21910.428571428572,0.66
22010.47619047619,0.64
22110.52380952381,0.65
22210.571428571428,0.63
22310.61904761905,0.6
22410.666666666668,0.53
22510.714285714286,0.61
22610.761904761905,0.65
22710.809523809523,0.69
22810.857142857145,0.58
22910.904761904763,0.67
23010.95238095238,0.64
23111.0,0.68
23211.04761904762,0.67
23311.09523809524,0.57
23411.14285714286,0.65
23511.190476190477,0.62
23611.238095238095,0.56
23711.285714285714,0.69
23811.333333333336,0.66
23911.380952380954,0.76
24011.428571428572,0.5
24111.47619047619,0.68
24211.52380952381,0.67
24311.57142857143,0.63
24411.61904761905,0.62
24511.666666666668,0.7
24611.714285714286,0.63
24711.761904761905,0.64
24811.809523809523,0.66
24911.857142857145,0.72
25011.904761904763,0.64
25111.95238095238,0.69
25212.0,0.65
25312.04761904762,0.62
25412.09523809524,0.58
25512.14285714286,0.76
25612.190476190477,0.63
25712.238095238095,0.67
25812.285714285714,0.66
25912.333333333336,0.61
26012.380952380954,0.65
26112.428571428572,0.72
26212.47619047619,0.65
26312.52380952381,0.67
26412.57142857143,0.63
26512.61904761905,0.68
26612.666666666668,0.57
26712.714285714286,0.62
26812.761904761905,0.65
26912.809523809523,0.6
27012.857142857145,0.67
27112.904761904763,0.65
27212.95238095238,0.7
27313.0,0.68
27413.04761904762,0.65
27513.09523809524,0.73
27613.14285714286,0.72
27713.190476190477,0.64
27813.238095238095,0.73
27913.285714285714,0.63
28013.333333333336,0.69
28113.380952380954,0.69
28213.428571428572,0.76
28313.47619047619,0.65
28413.52380952381,0.74
28513.57142857143,0.71
28613.61904761905,0.76
28713.666666666668,0.68
28813.714285714286,0.71
28913.761904761905,0.71
29013.809523809527,0.68
29113.857142857145,0.67
29213.904761904763,0.7
29313.95238095238,0.7
29414.0,0.69
29514.04761904762,0.62
29614.09523809524,0.6
29714.14285714286,0.69
29814.190476190477,0.62
29914.238095238095,0.74
30014.285714285714,0.62
30114.333333333336,0.68
30214.380952380954,0.72
30314.428571428572,0.65
30414.47619047619,0.68
30514.52380952381,0.62
30614.57142857143,0.76
30714.61904761905,0.69
30814.666666666668,0.76
30914.714285714286,0.7
31014.761904761905,0.75
31114.809523809527,0.74
31214.857142857145,0.74
31314.904761904763,0.62
31414.95238095238,0.66
31515.0,0.65
31615.04761904762,0.66
31715.09523809524,0.73
31815.14285714286,0.75
31915.190476190477,0.66
32015.238095238095,0.74
32115.285714285714,0.67
32215.333333333336,0.68
32315.380952380954,0.68
32415.428571428572,0.69
32515.47619047619,0.78
32615.52380952381,0.7
32715.57142857143,0.64
32815.619047619046,0.63
32915.666666666664,0.65
33015.71428571429,0.79
33115.76190476191,0.73
33215.80952380953,0.7
33315.857142857145,0.72
33415.90476190476,0.77
33515.95238095238,0.73
33616.0,0.65
33716.04761904762,0.79
33816.09523809524,0.76
33916.142857142855,0.67
34016.19047619048,0.72
34116.2380952381,0.77
34216.28571428572,0.65
34316.333333333336,0.72
34416.380952380954,0.77
34516.42857142857,0.7
34616.47619047619,0.75
34716.52380952381,0.75
34816.57142857143,0.82
34916.619047619046,0.71
35016.666666666664,0.69
35116.71428571429,0.8
35216.76190476191,0.78
35316.80952380953,0.72
35416.857142857145,0.67
35516.90476190476,0.71
35616.95238095238,0.75
35717.0,0.73
35817.04761904762,0.76
35917.09523809524,0.73
36017.142857142855,0.7
36117.19047619048,0.73
36217.2380952381,0.78
36317.28571428572,0.79
36417.333333333336,0.71
36517.380952380954,0.74
36617.42857142857,0.68
36717.47619047619,0.66
36817.52380952381,0.72
36917.57142857143,0.69
37017.619047619046,0.77
37117.66666666667,0.8
37217.71428571429,0.69
37317.76190476191,0.74
37417.80952380953,0.77
37517.857142857145,0.76
37617.90476190476,0.7
37717.95238095238,0.79
37818.0,0.71
37918.04761904762,0.77
38018.09523809524,0.74
38118.142857142855,0.72
38218.19047619048,0.72
38318.2380952381,0.78
38418.28571428572,0.73
38518.333333333336,0.72
38618.380952380954,0.81
38718.42857142857,0.63
38818.47619047619,0.73
38918.52380952381,0.75
39018.57142857143,0.75
39118.619047619046,0.74
39218.66666666667,0.72
39318.71428571429,0.77
39418.76190476191,0.8
39518.80952380953,0.73
39618.857142857145,0.77
39718.90476190476,0.75
39818.95238095238,0.73
39919.0,0.77
40019.04761904762,0.69
40119.09523809524,0.72
40219.142857142855,0.69
40319.19047619048,0.79
40419.2380952381,0.7
40519.28571428572,0.76
40619.333333333336,0.73
40719.380952380954,0.77
40819.42857142857,0.8
40919.47619047619,0.69
41019.52380952381,0.74
41119.57142857143,0.78
41219.619047619046,0.73
41319.66666666667,0.77
41419.71428571429,0.71
41519.76190476191,0.79
