games,2048 rate
0.0,0.0
100.04606172270843,0.0
200.09212344541686,0.0
300.1381851681253,0.0
400.1842468908337,0.0
500.23030861354215,0.0
600.2763703362506,0.0
700.3224320589591,0.0
800.3684937816674,0.0
900.4145555043758,0.0
1000.4606172270843,0.01
1100.5066789497928,0.0
1200.5527406725012,0.0
1300.5988023952095,0.0
1400.6448641179181,0.0
1500.6909258406265,0.0
1600.7369875633349,0.0
1700.7830492860433,0.01
1800.8291110087516,0.01
1900.8751727314602,0.0
2000.9212344541686,0.0
2100.967296176877,0.01
2201.0133578995856,0.01
2301.0594196222937,0.0
2401.1054813450023,0.0
2501.151543067711,0.04
2601.197604790419,0.02
2701.2436665131277,0.02
2801.2897282358363,0.0
2901.3357899585444,0.02
3001.381851681253,0.0
3101.427913403961,0.0
3201.4739751266698,0.02
3301.5200368493784,0.0
3401.5660985720865,0.02
3501.612160294795,0.04
3601.6582220175032,0.0
3701.704283740212,0.01
3801.7503454629204,0.01
3901.7964071856286,0.03
4001.842468908337,0.05
4101.888530631046,0.02
4201.934592353754,0.02
4301.980654076462,0.01
4402.026715799171,0.04
4502.072777521879,0.01
4602.118839244587,0.04
4702.1649009672965,0.05
4802.210962690005,0.01
4902.257024412713,0.06
5002.303086135422,0.04
5102.34914785813,0.06
5202.395209580838,0.05
5302.441271303547,0.01
5402.487333026255,0.07
5502.5333947489635,0.03
5602.5794564716725,0.05
5702.625518194381,0.06
5802.671579917089,0.08
5902.717641639797,0.02
6002.763703362506,0.04
6102.809765085214,0.08
6202.855826807922,0.09
6302.901888530631,0.05
6402.9479502533395,0.05
6502.994011976048,0.09
6603.040073698757,0.09
6703.086135421465,0.09
6803.132197144173,0.04
6903.178258866882,0.1
7003.22432058959,0.11
7103.270382312298,0.12
7203.3164440350065,0.11
7303.362505757716,0.15
7403.408567480424,0.15
7503.454629203132,0.14
7603.500690925841,0.12
7703.546752648549,0.09
7803.592814371257,0.17
7903.638876093966,0.15
8003.684937816674,0.16
8103.7309995393825,0.1
8203.777061262092,0.17
8303.823122984799,0.14
8403.869184707508,0.1
8503.915246430217,0.14
8603.961308152924,0.15
8704.007369875633,0.21
8804.053431598342,0.2
8904.09949332105,0.18
9004.145555043759,0.2
9104.191616766468,0.16
9204.237678489175,0.22
9304.283740211884,0.17
9404.329801934593,0.21
9504.3758636573,0.24
9604.42192538001,0.24
9704.467987102718,0.16
9804.514048825426,0.2
9904.560110548135,0.24
10004.606172270844,0.21
10104.65223399355,0.26
10204.69829571626,0.26
10304.744357438969,0.21
10404.790419161676,0.31
10504.836480884385,0.16
10604.882542607094,0.26
10704.928604329802,0.22
10804.97466605251,0.28
10905.02072777522,0.29
11005.066789497927,0.27
11105.112851220636,0.27
11205.158912943345,0.41
11305.204974666052,0.27
11405.251036388761,0.3
11505.297098111469,0.28
11605.343159834178,0.29
11705.389221556887,0.33
11805.435283279594,0.31
11905.481345002303,0.33
12005.527406725012,0.35
12105.57346844772,0.37
12205.619530170428,0.28
12305.665591893137,0.31
12405.711653615845,0.38
12505.757715338554,0.38
12605.803777061263,0.36
12705.84983878397,0.41
12805.895900506679,0.37
12905.941962229388,0.37
13005.988023952095,0.34
13106.034085674804,0.38
13206.080147397513,0.36
13306.12620912022,0.43
13406.17227084293,0.36
13506.218332565639,0.4
13606.264394288346,0.4
13706.310456011055,0.42
13806.356517733764,0.39
13906.402579456471,0.41
14006.44864117918,0.46
14106.49470290189,0.35
14206.540764624597,0.42
14306.586826347306,0.4
14406.632888070013,0.49
14506.678949792722,0.52
14606.725011515431,0.39
14706.771073238138,0.42
14806.817134960847,0.45
14906.863196683556,0.48
15006.909258406264,0.46
15106.955320128973,0.49
15207.001381851682,0.43
15307.047443574389,0.46
15407.093505297098,0.42
15507.139567019807,0.57
15607.185628742514,0.46
15707.231690465223,0.45
15807.277752187932,0.44
15907.32381391064,0.52
16007.369875633349,0.53
16107.415937356058,0.49
16207.461999078765,0.55
16307.508060801474,0.47
16407.554122524183,0.64
16507.60018424689,0.45
16607.646245969598,0.59
16707.69230769231,0.58
16807.738369415016,0.57
16907.784431137723,0.53
17007.830492860434,0.52
17107.87655458314,0.55
17207.92261630585,0.54
17307.96867802856,0.51
17408.014739751266,0.53
17508.060801473974,0.57
17608.106863196685,0.51
17708.15292491939,0.56
17808.1989866421,0.58
17908.24504836481,0.58
18008.291110087517,0.55
18108.337171810224,0.57
18208.383233532935,0.53
18308.429295255643,0.64
18408.47535697835,0.5
18508.52141870106,0.56
18608.567480423768,0.67
18708.613542146475,0.61
18808.659603869186,0.69
18908.705665591893,0.62
19008.7517273146,0.59
19108.79778903731,0.66
19208.84385076002,0.58
19308.889912482726,0.53
19408.935974205437,0.64
19508.982035928144,0.64
19609.02809765085,0.57
19709.074159373562,0.67
19809.12022109627,0.52
19909.166282818976,0.56
20009.212344541687,0.58
20109.258406264395,0.62
20209.3044679871,0.62
20309.350529709813,0.57
20409.39659143252,0.49
20509.442653155227,0.52
20609.488714877938,0.67
20709.534776600645,0.6
20809.580838323353,0.62
20909.626900046063,0.63
21009.67296176877,0.56
21109.719023491478,0.59
21209.76508521419,0.72
21309.811146936896,0.62
21409.857208659603,0.6
21509.903270382314,0.61
21609.94933210502,0.6
21709.99539382773,0.61
21810.04145555044,0.61
21910.087517273147,0.73
22010.133578995854,0.62
22110.179640718565,0.66
22210.225702441272,0.65
22310.27176416398,0.6
22410.31782588669,0.59
22510.363887609397,0.6
22610.409949332105,0.72
22710.456011054812,0.57
22810.502072777523,0.62
22910.54813450023,0.6
23010.594196222937,0.61
23110.640257945648,0.67
23210.686319668355,0.65
23310.732381391063,0.62
23410.778443113773,0.67
23510.82450483648,0.61
23610.870566559188,0.63
23710.9166282819,0.65
23810.962690004606,0.61
23911.008751727313,0.62
24011.054813450024,0.71
24111.10087517273,0.66
24211.14693689544,0.65
24311.19299861815,0.66
24411.239060340857,0.67
24511.285122063564,0.65
24611.331183786275,0.59
24711.377245508982,0.64
24811.42330723169,0.75
24911.4693689544,0.74
25011.515430677107,0.69
25111.561492399815,0.68
25211.607554122525,0.64
25311.653615845233,0.7
25411.69967756794,0.76
25511.74573929065,0.67
25611.791801013358,0.6
25711.837862736065,0.58
25811.883924458776,0.65
25911.929986181483,0.66
26011.97604790419,0.7
26112.0221096269,0.61
26212.06817134961,0.74
26312.114233072316,0.63
26412.160294795027,0.7
26512.206356517734,0.66
26612.25241824044,0.67
26712.298479963152,0.62
26812.34454168586,0.68
26912.390603408567,0.62
27012.436665131278,0.63
27112.482726853985,0.65
27212.528788576692,0.71
27312.574850299403,0.73
27412.62091202211,0.76
27512.666973744817,0.69
27612.71303546753,0.79
27712.759097190235,0.65
27812.805158912943,0.65
27912.851220635654,0.76
28012.89728235836,0.7
28112.943344081068,0.6
28212.98940580378,0.68
28313.035467526486,0.63
28413.081529249193,0.7
28513.127590971904,0.69
28613.17365269461,0.74
28713.21971441732,0.72
28813.265776140026,0.56
28913.311837862737,0.69
29013.357899585444,0.72
29113.40396130815,0.65
29213.450023030862,0.76
29313.49608475357,0.72
29413.542146476277,0.6
29513.588208198988,0.72
29613.634269921695,0.69
29713.680331644402,0.74
29813.726393367113,0.73
29913.77245508982,0.7
30013.818516812527,0.67
30113.86457853524,0.69
30213.910640257945,0.75
30313.956701980653,0.65
30414.002763703364,0.7
30514.04882542607,0.68
30614.094887148778,0.64
30714.14094887149,0.71
30814.187010594196,0.73
30914.233072316903,0.74
31014.279134039614,0.66
31114.32519576232,0.73
31214.37125748503,0.72
31314.41731920774,0.65
31414.463380930447,0.7
31514.509442653154,0.75
31614.555504375865,0.77
31714.601566098572,0.71
