games,Max Tile
0.0,512
100.04606172270843,1024
200.09212344541686,1024
300.1381851681253,1024
400.1842468908337,1024
500.23030861354215,1024
600.2763703362506,1024
700.3224320589591,1024
800.3684937816674,1024
900.4145555043758,1024
1000.4606172270843,2048
1100.5066789497928,1024
1200.5527406725012,1024
1300.5988023952095,1024
1400.6448641179181,1024
1500.6909258406265,1024
1600.7369875633349,1024
1700.7830492860433,2048
1800.8291110087516,2048
1900.8751727314602,1024
2000.9212344541686,1024
2100.967296176877,2048
2201.0133578995856,2048
2301.0594196222937,1024
2401.1054813450023,1024
2501.151543067711,2048
2601.197604790419,2048
2701.2436665131277,2048
2801.2897282358363,1024
2901.3357899585444,2048
3001.381851681253,1024
3101.427913403961,1024
3201.4739751266698,2048
3301.5200368493784,1024
3401.5660985720865,2048
3501.612160294795,2048
3601.6582220175032,1024
3701.704283740212,2048
3801.7503454629204,2048
3901.7964071856286,2048
4001.842468908337,2048
4101.888530631046,2048
4201.934592353754,2048
4301.980654076462,2048
4402.026715799171,2048
4502.072777521879,2048
4602.118839244587,2048
4702.1649009672965,2048
4802.210962690005,2048
4902.257024412713,2048
5002.303086135422,2048
5102.34914785813,2048
5202.395209580838,2048
5302.441271303547,2048
5402.487333026255,2048
5502.5333947489635,2048
5602.5794564716725,2048
5702.625518194381,2048
5802.671579917089,2048
5902.717641639797,2048
6002.763703362506,2048
6102.809765085214,2048
6202.855826807922,2048
6302.901888530631,2048
6402.9479502533395,2048
6502.994011976048,2048
6603.040073698757,2048
6703.086135421465,2048
6803.132197144173,2048
6903.178258866882,2048
7003.22432058959,2048
7103.270382312298,2048
7203.3164440350065,2048
7303.362505757716,2048
7403.408567480424,2048
7503.454629203132,2048
7603.500690925841,2048
7703.546752648549,2048
7803.592814371257,2048
7903.638876093966,2048
8003.684937816674,2048
8103.7309995393825,2048
8203.777061262092,2048
8303.823122984799,2048
8403.869184707508,2048
8503.915246430217,2048
8603.961308152924,2048
8704.007369875633,2048
8804.053431598342,2048
8904.09949332105,2048
9004.145555043759,2048
9104.191616766468,2048
9204.237678489175,2048
9304.283740211884,2048
9404.329801934593,2048
9504.3758636573,2048
9604.42192538001,2048
9704.467987102718,2048
9804.514048825426,2048
9904.560110548135,2048
10004.606172270844,2048
10104.65223399355,2048
10204.69829571626,2048
10304.744357438969,2048
10404.790419161676,2048
10504.836480884385,2048
10604.882542607094,2048
10704.928604329802,2048
10804.97466605251,2048
10905.02072777522,2048
11005.066789497927,2048
11105.112851220636,2048
11205.158912943345,2048
11305.204974666052,2048
11405.251036388761,2048
11505.297098111469,2048
11605.343159834178,2048
11705.389221556887,2048
11805.435283279594,2048
11905.481345002303,2048
12005.527406725012,2048
12105.57346844772,2048
12205.619530170428,2048
12305.665591893137,2048
12405.711653615845,2048
12505.757715338554,2048
12605.803777061263,2048
12705.84983878397,4096
12805.895900506679,2048
12905.941962229388,2048
13005.988023952095,2048
13106.034085674804,2048
13206.080147397513,4096
13306.12620912022,2048
13406.17227084293,2048
13506.218332565639,2048
13606.264394288346,4096
13706.310456011055,2048
13806.356517733764,2048
13906.402579456471,2048
14006.44864117918,2048
14106.49470290189,2048
14206.540764624597,2048
14306.586826347306,4096
14406.632888070013,4096
14506.678949792722,2048
14606.725011515431,2048
14706.771073238138,2048
14806.817134960847,2048
14906.863196683556,2048
15006.909258406264,2048
15106.955320128973,2048
15207.001381851682,4096
15307.047443574389,2048
15407.093505297098,4096
15507.139567019807,2048
15607.185628742514,4096
15707.231690465223,4096
15807.277752187932,2048
15907.32381391064,2048
16007.369875633349,2048
16107.415937356058,4096
16207.461999078765,2048
16307.508060801474,2048
16407.554122524183,2048
16507.60018424689,2048
16607.646245969598,4096
16707.69230769231,2048
16807.738369415016,4096
16907.784431137723,2048
17007.830492860434,4096
17107.87655458314,4096
17207.92261630585,2048
17307.96867802856,2048
17408.014739751266,4096
17508.060801473974,2048
17608.106863196685,2048
17708.15292491939,4096
17808.1989866421,4096
17908.24504836481,4096
18008.291110087517,2048
18108.337171810224,4096
18208.383233532935,4096
18308.429295255643,4096
18408.47535697835,4096
18508.52141870106,4096
18608.567480423768,4096
18708.613542146475,4096
18808.659603869186,4096
18908.705665591893,4096
19008.7517273146,4096
19108.79778903731,4096
19208.84385076002,2048
19308.889912482726,4096
19408.935974205437,2048
19508.982035928144,4096
19609.02809765085,4096
19709.074159373562,2048
19809.12022109627,4096
19909.166282818976,4096
20009.212344541687,4096
20109.258406264395,4096
20209.3044679871,4096
20309.350529709813,2048
20409.39659143252,4096
20509.442653155227,4096
20609.488714877938,4096
20709.534776600645,4096
20809.580838323353,4096
20909.626900046063,4096
21009.67296176877,4096
21109.719023491478,4096
21209.76508521419,4096
21309.811146936896,2048
21409.857208659603,4096
21509.903270382314,4096
21609.94933210502,4096
21709.99539382773,4096
21810.04145555044,4096
21910.087517273147,2048
22010.133578995854,4096
22110.179640718565,2048
22210.225702441272,4096
22310.27176416398,4096
22410.31782588669,4096
22510.363887609397,4096
22610.409949332105,2048
22710.456011054812,4096
22810.502072777523,4096
22910.54813450023,4096
23010.594196222937,4096
23110.640257945648,4096
23210.686319668355,4096
23310.732381391063,4096
23410.778443113773,4096
23510.82450483648,4096
23610.870566559188,4096
23710.9166282819,4096
23810.962690004606,4096
23911.008751727313,4096
24011.054813450024,4096
24111.10087517273,2048
24211.14693689544,4096
24311.19299861815,4096
24411.239060340857,2048
24511.285122063564,4096
24611.331183786275,4096
24711.377245508982,4096
24811.42330723169,4096
24911.4693689544,4096
25011.515430677107,4096
25111.561492399815,4096
25211.607554122525,2048
25311.653615845233,4096
25411.69967756794,4096
25511.74573929065,4096
25611.791801013358,4096
25711.837862736065,4096
25811.883924458776,4096
25911.929986181483,4096
26011.97604790419,4096
26112.0221096269,4096
26212.06817134961,2048
26312.114233072316,4096
26412.160294795027,4096
26512.206356517734,4096
26612.25241824044,4096
26712.298479963152,4096
26812.34454168586,4096
26912.390603408567,4096
27012.436665131278,4096
27112.482726853985,4096
27212.528788576692,4096
27312.574850299403,4096
27412.62091202211,4096
27512.666973744817,4096
27612.71303546753,4096
27712.759097190235,4096
27812.805158912943,4096
27912.851220635654,4096
28012.89728235836,4096
28112.943344081068,4096
28212.98940580378,4096
28313.035467526486,4096
28413.081529249193,4096
28513.127590971904,4096
28613.17365269461,4096
28713.21971441732,4096
28813.265776140026,4096
28913.311837862737,4096
29013.357899585444,2048
29113.40396130815,4096
29213.450023030862,4096
29313.49608475357,4096
29413.542146476277,4096
29513.588208198988,4096
29613.634269921695,4096
29713.680331644402,4096
29813.726393367113,2048
29913.77245508982,4096
30013.818516812527,4096
30113.86457853524,4096
30213.910640257945,4096
30313.956701980653,4096
30414.002763703364,2048
30514.04882542607,4096
30614.094887148778,4096
30714.14094887149,2048
30814.187010594196,4096
30914.233072316903,4096
31014.279134039614,4096
31114.32519576232,4096
31214.37125748503,4096
31314.41731920774,4096
31414.463380930447,2048
31514.509442653154,4096
31614.555504375865,4096
31714.601566098572,4096
31814.64762782128,2048
31914.69368954399,2048
32014.739751266698,4096
32114.785812989405,4096
32214.831874712116,4096
32314.877936434823,4096
32414.92399815753,4096
32514.97005988024,2048
32615.01612160295,4096
32715.062183325655,4096
32815.10824504837,4096
32915.15430677107,2048
33015.20036849378,4096
33115.24643021649,4096
33215.292491939195,4096
33315.33855366191,4096
33415.38461538462,4096
33515.430677107324,4096
33615.47673883003,4096
33715.52280055274,4096
33815.568862275446,4096
33915.61492399816,4096
34015.66098572087,4096
34115.707047443575,4096
34215.75310916628,4096
34315.79917088899,4096
34415.8452326117,4096
34515.89129433441,4096
34615.93735605712,4096
34715.983417779826,4096
34816.02947950253,2048
34916.07554122524,4096
35016.12160294795,4096
35116.16766467066,4096
35216.21372639337,4096
35316.25978811608,4096
35416.30584983878,4096
35516.35191156149,2048
35616.3979732842,4096
35716.44403500691,4096
35816.49009672962,4096
35916.53615845233,4096
36016.582220175034,4096
36116.62828189774,4096
